episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,1.305000,0,14,-9214.066369,-6543.851656,-11800.430984,1.000000,10.244791,51.086951
2,1.560000,0,14,-7788.153834,-6224.048971,-10092.194353,0.992000,4.522126,17.920777
3,1.555000,0,14,-7431.592294,-6088.643013,-10426.440880,0.984064,38.923512,23.321972
4,1.557000,0,14,-6410.620275,-4590.774594,-9355.450261,0.976191,79.503027,27.352774
5,1.552000,0,14,-6058.368713,-3956.691678,-8685.854307,0.968382,113.024041,10.645497
6,1.568000,0,14,-5621.182242,-3670.466596,-7305.827153,0.960635,141.226357,27.906848
7,1.569000,0,14,-5323.609816,-4159.084243,-10224.735623,0.952950,114.368905,567.922167
8,1.576000,0,14,-3886.221764,-2194.070643,-7089.309216,0.945326,165.605536,17.394106
9,1.573000,0,14,-3122.760394,-609.224014,-5559.523507,0.937764,215.581804,73.036377
10,1.587000,0,14,-3093.776486,-1326.520479,-5750.729848,0.930262,241.220658,48.869304
11,1.580000,0,14,-2374.631462,-844.979639,-3951.632129,0.922819,272.611434,748.742100
12,1.609000,0,14,-2007.412553,-641.841989,-3269.046000,0.915437,290.201743,54.129442
13,1.571000,0,14,-2402.837371,-939.144744,-10262.104315,0.908113,330.895820,614.217998
14,1.564000,0,14,-851.506063,-26.236766,-2846.942109,0.900848,347.550144,38.658768
15,1.557000,0,14,-1613.227521,-508.515233,-5647.786351,0.893642,353.565058,214.204824
16,1.531000,0,14,-1749.795913,-80.663525,-4966.869330,0.886493,382.551206,94.701464
17,1.573000,1,14,-1692.737629,3220.351878,-5633.099386,0.879401,411.736342,1412.754741
18,1.546000,0,14,-3140.443146,-254.241663,-18696.611116,0.872365,436.791707,1507.138881
19,1.613000,0,14,-1006.946163,1110.990941,-3829.498001,0.865386,386.902097,917.476790
20,1.574000,1,14,-4444.391796,1074.163193,-12968.820734,0.858463,454.961823,1596.582369
21,1.498000,4,14,-1033.145827,8190.417041,-14457.686444,0.851596,482.512109,537.571675
22,1.527000,4,14,-672.817092,5699.755245,-6771.149644,0.844783,539.765771,1224.810141
23,1.516000,6,14,-1387.119107,4281.787616,-6569.370343,0.838025,465.776023,1265.917765
24,1.331000,14,14,6186.332982,10191.641013,292.716755,0.831320,688.712485,699.850517
25,1.203000,14,14,6514.043280,10419.971777,1259.283041,0.824670,884.097047,542288.200980
26,1.277000,12,14,4034.099023,8390.294413,-8334.561431,0.818073,859.771045,542692.088383
27,1.143000,14,14,7186.827012,10627.403550,4811.261044,0.811528,965.304119,447.888940
28,1.039000,14,14,6587.275910,11422.870661,3361.363753,0.805036,1114.268238,483223.288851
29,0.990000,14,14,7306.225489,9603.245497,4974.854645,0.798595,1297.554249,216807.030017
30,1.199000,14,14,8673.493355,11009.896206,4496.317770,0.792207,1202.982314,228332.392887
31,1.157000,14,14,6998.921763,9274.201440,4667.960051,0.785869,1263.809254,223693.051044
32,0.944000,14,14,9736.555274,12559.018501,6630.178338,0.779582,1240.887219,223964.122911
33,0.982000,14,14,9216.446989,11914.997166,6153.778895,0.773345,1447.379250,530.879776
34,0.951000,14,14,7998.868823,9644.031233,5672.514624,0.767159,1300.591344,346.838583
35,1.068000,14,14,8707.516179,10484.429799,6372.428663,0.761021,1367.367705,210414.725201
36,1.161000,12,14,5354.769030,10484.380297,-4028.669031,0.754933,1486.177180,203622.728710
37,0.890000,14,14,7993.192471,10469.823037,5473.164288,0.748894,1469.148426,1189.972845
38,0.920000,14,14,9503.969587,11005.852154,8064.602177,0.742903,1603.997303,363586.682247
39,0.821000,14,14,8660.722480,11508.995166,2739.366867,0.736959,1518.677331,387732.409504
40,0.851000,14,14,9165.891035,12226.624603,5738.877148,0.731064,1660.394190,354341.704873
41,0.760000,14,14,10227.369870,12973.357078,7543.400155,0.725215,1656.933437,355343.053565
42,0.683000,14,14,10411.327459,12787.177372,5553.853605,0.719413,1512.050139,192668.654327
43,0.756000,14,14,10949.801773,12649.990480,7042.357463,0.713658,1673.052390,702609.905684
44,0.683000,14,14,10713.887367,13285.833493,6568.840538,0.707949,1745.997251,506832.447503
45,0.683000,14,14,11412.208202,13079.479710,8458.777599,0.702285,1812.688210,513233.191506
46,0.616000,14,14,11514.260327,13245.247859,8667.423227,0.696667,1871.821696,215.107157
