episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
1,0.986000,0,14,-8624.608055,-6925.741963,-12216.361594,1.000000,56.623882,23.261989
2,1.176000,0,14,-8030.107480,-5664.028797,-10823.863367,0.992000,52.727049,56.868227
3,1.210000,0,14,-7154.969118,-5842.438124,-9020.098379,0.984064,52.252887,13.981543
4,1.186000,0,14,-6252.002948,-5276.495152,-8715.217276,0.976191,97.619744,36.187722
5,1.183000,0,14,-6692.177270,-3406.360441,-14272.543362,0.968382,132.007224,1148.675005
6,1.172000,0,14,-5766.724992,-4124.263394,-11124.944680,0.960635,150.344041,2271.772662
7,1.194000,0,14,-4350.919240,-3146.614146,-5563.500624,0.952950,152.405184,61.114399
8,1.195000,0,14,-4333.023028,-2927.557445,-6332.631630,0.945326,191.471985,31.684264
9,1.193000,0,14,-3497.296196,-986.934547,-7543.499955,0.937764,211.078677,565.791393
10,1.204000,0,14,-2777.318453,-1173.160198,-4125.754921,0.930262,246.593980,29.036496
11,1.202000,0,14,-2139.053125,-205.545347,-4487.021628,0.922819,287.761681,209.184461
12,1.188000,0,14,-2166.083366,-1138.646179,-3922.797210,0.915437,313.441030,143.826570
13,1.187000,0,14,-3614.851490,-605.989825,-9511.501037,0.908113,329.204599,1778.392326
14,1.189000,0,14,-4137.377048,-1527.419362,-8778.104522,0.900848,133.842587,70.390217
15,1.189000,1,14,-8156.459750,-424.062716,-20076.717024,0.893642,354.832828,3934.656882
16,1.222000,0,14,-3811.657037,-855.520296,-7800.942392,0.886493,397.220505,1319.576873
17,1.178000,0,14,-5743.175481,1831.219184,-12083.609518,0.879401,374.058878,1523.309176
18,1.201000,0,14,-2546.345763,-244.299014,-10041.266613,0.872365,377.841117,670.205563
19,1.193000,3,14,-2372.699931,7857.272561,-8189.905779,0.865386,431.029231,1773.436519
20,1.165000,10,14,-495.077036,4098.922147,-5739.177100,0.858463,582.469514,307413.563113
21,1.131000,8,14,561.959433,5600.437600,-4973.595923,0.851596,675.963956,1236.749075
22,1.123000,10,14,2846.153358,6055.985800,-1746.975959,0.844783,671.201199,298255.601451
23,1.098000,13,14,4118.008958,8691.335646,69.550242,0.838025,635.786151,917.030482
24,0.980000,14,14,6932.011185,9639.956230,-1361.726918,0.831320,733.042089,876667.324828
25,0.943000,14,14,7041.568701,10914.126808,2281.958552,0.824670,834.277652,278522.666638
26,0.860000,14,14,8182.284474,11177.727830,1402.551178,0.818073,970.374751,806.990705
27,0.952000,14,14,6652.448452,9668.457227,3088.951313,0.811528,949.891703,265443.104308
28,0.848000,14,14,8849.998647,11568.686629,4906.489444,0.805036,1066.766605,245076.676624
29,0.814000,14,14,6221.382124,10504.884672,1408.725420,0.798595,1249.457664,479.715854
30,0.792000,14,14,7016.225393,9665.589580,4751.903419,0.792207,1354.519975,2758.756890
31,0.930000,14,14,5773.153861,9494.475242,3122.175372,0.785869,1230.360240,451744.143987
32,0.748000,14,14,7992.690800,10290.488338,5286.974339,0.779582,1621.885838,1434.542765
33,1.011000,14,14,4931.520168,8714.857245,660.484897,0.773345,1371.314383,210083.778337
34,1.112000,2,14,-7216.643095,11047.957951,-17016.925432,0.767159,1206.009859,48.717706
35,0.849000,14,14,9598.691581,11814.022530,2629.808134,0.761021,1280.982621,2472.854822
36,0.675000,14,14,9139.180674,12202.303303,4978.466119,0.754933,1442.844369,399649.568693
37,0.627000,14,14,10147.692219,12204.330785,6300.795682,0.748894,1563.594566,186822.900885
38,0.677000,14,14,9245.907408,12375.978745,6378.198095,0.742903,1420.978287,203399.559204
39,0.604000,14,14,10001.550127,12998.465102,7740.970851,0.736959,1431.120738,401773.331069
40,0.584000,14,14,10511.873409,12569.828219,7421.486041,0.731064,1490.942119,583847.118863
41,0.595000,14,14,10445.669683,12796.691146,8567.085930,0.725215,1517.505486,376.198403
42,0.585000,14,14,5497.800913,12217.670904,661.082564,0.719413,1503.013705,388156.401990
43,0.614000,14,14,11254.996813,13003.173373,5176.611952,0.713658,1522.167397,590274.735183
44,0.641000,14,14,7189.553541,12258.237098,3713.166658,0.707949,1607.475744,183019.981442
45,0.530000,14,14,10012.906391,11419.730014,7946.867306,0.702285,1637.150001,534949.155932
46,0.462000,14,14,10115.046146,12326.785402,2446.441490,0.696667,1615.702418,182002.672437
47,0.536000,14,14,9575.102007,12259.622690,4577.196674,0.691094,1694.325147,879098.680603
48,0.567000,14,14,9906.621747,11360.341604,8432.123483,0.685565,1781.426655,334350.912772
